cells,cells_non_zero_diversity,class_id,max_unique_fingerprints,mean_recovery_rate,mean_shannon_entropy,mean_valid_rate,model
12,0,C,1,1.0,0.0,1.0,ollama:qwen2.5-coder:14b
12,0,D,1,0.5,0.0,1.0,ollama:qwen2.5-coder:14b
12,6,E,10,1.0,1.151293,1.0,ollama:qwen2.5-coder:14b
12,0,C,1,1.0,0.0,1.0,ollama:qwen3-coder:30b
12,0,D,1,0.5,0.0,1.0,ollama:qwen3-coder:30b
12,6,E,10,1.0,1.151293,1.0,ollama:qwen3-coder:30b
