generator_model,task_id,dimension,rep,manifestation_score,text_distance,ast_distance,import_jaccard,function_jaccard,recovery_mean,recovery_strict,recovery_partial,recovery_none,v0_correct,v1_correct,keyword_v0_correct,keyword_v1_correct,keyword_strict,keyword_partial,keyword_none,manipulation_confirmed
anthropic,sanitize_filename,concurrency,5,0.635579,0.861624,0.680692,0.500000,0.500000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,sanitize_filename,security,1,0.009534,0.030953,0.007185,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,sanitize_filename,security,2,0.163726,0.315162,0.339742,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,sanitize_filename,security,3,0.170843,0.334804,0.348567,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,sanitize_filename,security,4,0.438242,0.597927,0.655042,0.500000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,sanitize_filename,security,5,0.163798,0.315162,0.340031,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,validate_email_like,concurrency,1,0.040569,0.090483,0.071793,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,validate_email_like,concurrency,2,0.040569,0.090483,0.071793,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,validate_email_like,concurrency,3,0.040569,0.090483,0.071793,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,validate_email_like,concurrency,4,0.040569,0.090483,0.071793,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,validate_email_like,concurrency,5,0.040569,0.090483,0.071793,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,validate_email_like,security,1,0.197268,0.415595,0.373478,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,validate_email_like,security,2,0.178378,0.348875,0.364639,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,validate_email_like,security,3,0.531051,0.593153,,1.000000,0.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,validate_email_like,security,4,0.178378,0.348875,0.364639,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,validate_email_like,security,5,0.177100,0.345024,0.363378,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,dependency_order,concurrency,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,dependency_order,concurrency,2,0.000000,0.000000,0.000000,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,dependency_order,concurrency,3,0.000000,0.000000,0.000000,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,dependency_order,concurrency,4,0.000000,0.000000,0.000000,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,dependency_order,concurrency,5,0.000000,0.000000,0.000000,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,dependency_order,security,1,0.357635,0.635294,0.795247,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,dependency_order,security,2,0.327930,0.525501,0.786218,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,dependency_order,security,3,0.327930,0.525501,0.786218,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,dependency_order,security,4,0.327930,0.525501,0.786218,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,dependency_order,security,5,0.357635,0.635294,0.795247,1.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,lru_cache,concurrency,1,0.086598,0.189711,0.156683,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,lru_cache,concurrency,2,0.513227,0.575137,0.477769,0.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,lru_cache,concurrency,3,0.485466,0.526316,0.415547,0.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,lru_cache,concurrency,4,0.537663,0.689900,0.460751,0.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,lru_cache,concurrency,5,0.478603,0.543964,0.370447,0.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,lru_cache,security,1,0.043557,0.113006,0.061224,1.000000,1.000000,,,,,,,false,true,0,1,0,true
openai,lru_cache,security,2,0.063698,0.170124,0.084669,1.000000,1.000000,0.500000,0,1,0,true,false,false,true,0,1,0,true
openai,lru_cache,security,3,0.124465,0.281540,0.216320,1.000000,1.000000,1.000000,1,0,0,true,true,false,true,0,1,0,true
openai,lru_cache,security,4,0.043557,0.113006,0.061224,1.000000,1.000000,1.000000,1,0,0,true,true,false,true,0,1,0,true
openai,lru_cache,security,5,0.063698,0.170124,0.084669,1.000000,1.000000,0.500000,0,1,0,true,false,false,true,0,1,0,true
