cluster,count,representative_examples,hypothesized_mechanism
algorithm_api_substitution,16,"B009 lru_cache/security anthropic rep5 (v0_only_fail, driver=import) | B010 merge_intervals/concurrency anthropic rep1 (v1_only_fail, driver=import) | B011 merge_intervals/concurrency anthropic rep2 (v1_only_fail, driver=import)",Large AST rewrite with import/API substitution unrelated to dimension markers
v0_validation_surface_miss,14,"B020 sanitize_filename/security anthropic rep2 (v0_only_fail, driver=ast) | B021 sanitize_filename/security anthropic rep3 (v0_only_fail, driver=ast) | B023 sanitize_filename/security anthropic rep5 (v0_only_fail, driver=ast)","Security v0 uses alternate validation surface; judge misses v0, recovers v1"
non_dimension_algorithm_substitution,13,"B001 dependency_order/concurrency anthropic rep1 (v1_only_fail, driver=import) | B002 dependency_order/concurrency anthropic rep2 (v1_only_fail, driver=import) | B003 dependency_order/concurrency anthropic rep3 (v1_only_fail, driver=import)",Entire algorithm replaced (often API-backed); manipulated dimension markers absent
v1_concurrency_surface_miss,4,"B013 merge_intervals/concurrency anthropic rep4 (v1_only_fail, driver=import) | B037 sanitize_filename/concurrency openai rep2 (v1_only_fail, driver=text) | B038 sanitize_filename/concurrency openai rep3 (v1_only_fail, driver=text)",Concurrency v1 edited but without lock/threading tokens; judge misses v1
v1_salient_dimension_edit,4,"B045 validate_email_like/concurrency openai rep1 (v1_only_fail, driver=ast) | B046 validate_email_like/concurrency openai rep3 (v1_only_fail, driver=ast) | B047 validate_email_like/concurrency openai rep4 (v1_only_fail, driver=ast)",Dimension-aligned edit concentrated in v1; judge recovers v0 only
