generator_model,task_id,dimension,rep,text_distance,ast_similarity,ast_distance,import_jaccard,function_jaccard,manifestation_score,recovery_correct,recovery_confidence,keyword_prediction,keyword_correct,structural_fingerprint_score,lock_gain,input_validation_gain,engineer_guessable,manifestation_recovery_gap,taxonomy_category
openai,sanitize_filename,concurrency,1,0.089494,0.918814,0.081186,1.000000,1.000000,0.042670,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.457330,C
openai,sanitize_filename,concurrency,2,0.369863,0.839529,0.160471,1.000000,1.000000,0.132584,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.367416,A
openai,sanitize_filename,concurrency,3,0.369863,0.839529,0.160471,1.000000,1.000000,0.132584,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.367416,A
openai,sanitize_filename,concurrency,4,0.369863,0.839529,0.160471,1.000000,1.000000,0.132584,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.367416,A
openai,sanitize_filename,concurrency,5,0.089494,0.918814,0.081186,1.000000,1.000000,0.042670,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.457330,C
openai,validate_email_like,security,1,0.640449,0.479972,0.520028,1.000000,1.000000,0.290119,1.000000,0.775000,,1.000000,5.000000,0.000000,1.000000,yes,-0.709881,A
openai,validate_email_like,security,2,0.641121,0.479807,0.520193,1.000000,1.000000,0.290328,1.000000,0.775000,,1.000000,5.000000,0.000000,1.000000,yes,-0.709672,A
openai,validate_email_like,security,3,0.640449,0.479972,0.520028,1.000000,1.000000,0.290119,0.500000,0.840000,,1.000000,5.000000,0.000000,1.000000,yes,-0.209881,A
openai,validate_email_like,security,4,0.546392,0.435082,0.564918,1.000000,1.000000,0.277828,0.500000,0.840000,,1.000000,5.000000,0.000000,1.000000,yes,-0.222172,A
openai,validate_email_like,security,5,0.642732,0.386344,0.613656,1.000000,1.000000,0.314097,0.500000,0.900000,,1.000000,5.000000,0.000000,0.000000,yes,-0.185903,A
openai,validate_email_like,concurrency,1,0.622266,0.321649,0.678351,1.000000,1.000000,0.325154,0.500000,0.600000,v0,0.500000,0.000000,0.000000,1.000000,no,-0.174846,A
