ambiguous_count,artifact_id,dataset,detector_module,detector_sha256,error_count,fail_count,functionally_valid,generation_sec,label,model_id,pass_count,run_count,source_group,study_id,task_id,timeout_count,unique_output_hash_count,validation_error
0,ref_HumanEval_0,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,True,,stable,canonical,10,10,reference,RQ-EXT-E,HumanEval/0,0,1,
0,gen_HumanEval_0,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,False,1.24,invalid,ollama:qwen2.5-coder:14b,0,10,local_llm,RQ-EXT-E,HumanEval/0,0,0,fail
0,ref_HumanEval_1,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,True,,stable,canonical,10,10,reference,RQ-EXT-E,HumanEval/1,0,1,
0,gen_HumanEval_1,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,False,1.58,invalid,ollama:qwen2.5-coder:14b,0,10,local_llm,RQ-EXT-E,HumanEval/1,0,0,fail
0,ref_HumanEval_10,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,True,,stable,canonical,10,10,reference,RQ-EXT-E,HumanEval/10,0,1,
0,gen_HumanEval_10,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,False,2.67,invalid,ollama:qwen2.5-coder:14b,0,10,local_llm,RQ-EXT-E,HumanEval/10,0,0,fail
0,ref_HumanEval_100,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,True,,stable,canonical,10,10,reference,RQ-EXT-E,HumanEval/100,0,1,
0,gen_HumanEval_100,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,True,1.12,stable,ollama:qwen2.5-coder:14b,10,10,local_llm,RQ-EXT-E,HumanEval/100,0,1,
0,ref_HumanEval_101,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,True,,stable,canonical,10,10,reference,RQ-EXT-E,HumanEval/101,0,1,
0,gen_HumanEval_101,humaneval_plus_v1,invert_external.detectors.output_stability,5e9a0681226143fbcdc2223daec8c0c057618099c1e0ba3f78c20b911b83c9fc,0,0,True,0.54,stable,ollama:qwen2.5-coder:14b,10,10,local_llm,RQ-EXT-E,HumanEval/101,0,1,
