class_id,dominance,model,n,non_zero_diversity,requested_pole,richness,run_id,shannon_entropy,simpson_diversity,strip_level,task_id,unique_fingerprints
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_exp_0_1,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_exp_0_1,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_exp_0_1,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_polynomial,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_polynomial,1
B,1.0,ollama__qwen3-coder__30b,5,False,trapezoidal,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_polynomial,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_sin_0_pi,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_sin_0_pi,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_sin_0_pi,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,raw,integrate_sin_0_pi,1
B,1.0,ollama__devstral__latest,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,renamed,integrate_sin_0_pi,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,format_normalized,integrate_sin_0_pi,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_comments,integrate_sin_0_pi,1
B,1.0,ollama__qwen2_5-coder__14b,5,False,simpson,0.2,core_v2_generalization_local_quadrature_001,0.0,0.0,no_imports,integrate_sin_0_pi,1
